,Star_name,Distance,Mass,Radius,gravity
4459,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
4460,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.18851364622
4461,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
4462,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.18851364622
4463,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
4464,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.18851364622
4465,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
4466,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.18851364622
4467,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
4468,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.18851364622
4469,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
4470,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.18851364622
4471,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
4472,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.18851364622
4473,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
4474,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.18851364622
4475,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
4476,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.18851364622
4477,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
4478,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.18851364622
4479,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
4480,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4481,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4482,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4483,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4484,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4485,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4486,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4487,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4488,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4489,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4490,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4491,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4492,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4493,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4494,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4495,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4496,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4497,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4498,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4499,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4500,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4501,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4502,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4503,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4504,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4505,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4506,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4507,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4508,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4509,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4510,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
4511,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
4512,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4513,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4514,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4515,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4516,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4517,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4518,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4519,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4520,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4521,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4522,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4523,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4524,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4525,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4526,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4527,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4528,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4529,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4530,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4531,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4532,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4533,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4534,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4535,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4536,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4537,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4538,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4539,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4540,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4541,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
4542,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
4543,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1673.3068242582376
4544,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
4545,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010776993793094389
